name,friendly_name,year,category,difficulty,description
us-president-zachary-taylor-dies-after-eating-ra,U.S. President Zachary Taylor dies after eating raw fruit,1850,diplomatic,medium,U.S. President Zachary Taylor dies after eating raw fruit and iced milk; he is succeeded in office by Vice President Millard Fillmore.
persian-prophet-bb-is-executed-in-tabriz-persia,"Persian prophet Báb is executed in Tabriz, Persia.",1850,cultural,medium,"Persian prophet Báb is executed in Tabriz, Persia."
us-president-millard-fillmore-is-sworn-in-a-day,"U.S. President Millard Fillmore is sworn in, a day after",1850,diplomatic,medium,"U.S. President Millard Fillmore is sworn in, a day after becoming president upon Zachary Taylor's death."
point-no-point-treaty-is-signed-in-washington-terr,Point No Point Treaty is signed in Washington Territory.,1855,diplomatic,medium,Point No Point Treaty is signed in Washington Territory.
a-locomotive-on-the-panama-canal-railway-runs-from,A locomotive on the Panama Canal Railway runs from the,1855,infrastructure,medium,A locomotive on the Panama Canal Railway runs from the Atlantic Ocean to the Pacific Ocean for the first time.
kassa-hailu-is-crowned-tewodros-ii-emperor-of-eth,"Kassa Hailu is crowned Tewodros II, Emperor of Ethiopia.",1855,diplomatic,medium,"Kassa Hailu is crowned Tewodros II, Emperor of Ethiopia."
michigan-state-university-is-established,Michigan State University is established.,1855,cultural,medium,Michigan State University is established.
texas-is-linked-by-telegraph-to-the-rest-of-the-un,Texas is linked by telegraph to the rest of the United,1855,infrastructure,medium,"Texas is linked by telegraph to the rest of the United States, with the completion of a connection between New Orleans and Marshall, Texas."
alexander-ii-becomes-tsar-of-russia,Alexander II becomes Tsar of Russia.,1855,cultural,medium,Alexander II becomes Tsar of Russia.
origins-of-the-american-civil-war-border-ruffian,"Origins of the American Civil War: ""Border Ruffians"" from",1855,conflict,easy,"Origins of the American Civil War: ""Border Ruffians"" from Missouri invade Kansas and force election of a pro-slavery legislature."
american-adventurer-william-walker-departs-from-sa,American adventurer William Walker departs from San,1855,cultural,medium,American adventurer William Walker departs from San Francisco with about 60 men to conquer Nicaragua.
major-henry-c-wayne-departs-new-york-aboard-the-u,Major Henry C. Wayne departs New York aboard the USS Supply,1855,cultural,medium,Major Henry C. Wayne departs New York aboard the USS Supply to procure camels to establish the U.S. Camel Corps.
the-first-polish-stamp-is-issued-replacing-the-ru,"The first Polish stamp is issued, replacing the Russian",1860,exploration,medium,"The first Polish stamp is issued, replacing the Russian stamps previously in use."
abraham-lincoln-makes-a-speech-at-cooper-union-in,Abraham Lincoln makes a speech at Cooper Union in the city,1860,cultural,medium,Abraham Lincoln makes a speech at Cooper Union in the city of New York that is largely responsible for his election to the Presidency.
parma-tuscany-modena-and-romagna-vote-in-referen,"Parma, Tuscany, Modena and Romagna vote in referendums to",1860,diplomatic,medium,"Parma, Tuscany, Modena and Romagna vote in referendums to join the Kingdom of Sardinia."
the-first-taranaki-war-begins-in-taranaki-new-zea,"The First Taranaki War begins in Taranaki, New Zealand, a",1860,conflict,medium,"The First Taranaki War begins in Taranaki, New Zealand, a major phase of the New Zealand Wars."
sakuradamon-incident-japanese-chief-minister-tai,Sakuradamon Incident: Japanese Chief Minister (Tairō) Ii,1860,infrastructure,medium,Sakuradamon Incident: Japanese Chief Minister (Tairō) Ii Naosuke is assassinated by rōnin samurai outside the Sakurada Gate of Edo Castle.
the-first-successful-united-states-pony-express-ru,The first successful United States Pony Express run from,1860,exploration,medium,"The first successful United States Pony Express run from St. Joseph, Missouri, to Sacramento, California, begins."
the-reorganized-church-of-jesus-christ-of-latter-d,The Reorganized Church of Jesus Christ of Latter Day,1860,cultural,medium,"The Reorganized Church of Jesus Christ of Latter Day Saints, later renamed Community of Christ, is organized by Joseph Smith III and others at Amboy, Illinois."
on-his-phonautograph-machine-douard-lon-scott-d,"On his phonautograph machine, Édouard-Léon Scott de",1860,cultural,medium,"On his phonautograph machine, Édouard-Léon Scott de Martinville makes the oldest known recording of an audible human voice."
1860-united-states-presidential-election-abraham,1860 United States presidential election: Abraham Lincoln,1860,conflict,medium,"1860 United States presidential election: Abraham Lincoln wins the Republican Party presidential nomination over William H. Seward, who later becomes the United States Secretary of State."
uruguayan-war-the-siege-of-paysand-ends-as-the-b,Uruguayan War: The Siege of Paysandú ends as the Brazilians,1865,conflict,medium,"Uruguayan War: The Siege of Paysandú ends as the Brazilians and Coloradans capture Paysandú, Uruguay."
american-civil-war-fort-fisher-in-north-carolina,American Civil War: Fort Fisher in North Carolina falls to,1865,conflict,easy,"American Civil War: Fort Fisher in North Carolina falls to the Union, thus cutting off the last major seaport of the Confederacy."
american-civil-war-confederate-general-robert-e,American Civil War: Confederate General Robert E. Lee,1865,conflict,easy,American Civil War: Confederate General Robert E. Lee becomes general-in-chief of all Confederate armies.
end-of-the-uruguayan-war-with-a-peace-agreement-b,"End of the Uruguayan War, with a peace agreement between",1865,diplomatic,medium,"End of the Uruguayan War, with a peace agreement between President Tomás Villalba and rebel leader Venancio Flores, setting the scene for the destructive War of the Triple Alliance."
east-cape-war-the-vlkner-incident-in-new-zealand,East Cape War: The Völkner Incident in New Zealand.,1865,conflict,medium,East Cape War: The Völkner Incident in New Zealand.
the-third-and-final-national-flag-of-the-confedera,The third and final national flag of the Confederate States,1865,diplomatic,medium,The third and final national flag of the Confederate States of America is adopted by the Confederate Congress.
the-inauguration-of-the-musikverein-in-vienna-aus,"The inauguration of the Musikverein in Vienna, Austria.",1870,cultural,medium,"The inauguration of the Musikverein in Vienna, Austria."
john-d-rockefeller-incorporates-standard-oil,John D. Rockefeller incorporates Standard Oil.,1870,cultural,medium,John D. Rockefeller incorporates Standard Oil.
a-political-cartoon-for-the-first-time-symbolizes,A political cartoon for the first time symbolizes the,1870,diplomatic,medium,"A political cartoon for the first time symbolizes the Democratic Party with a donkey (""A Live Jackass Kicking a Dead Lion"" by Thomas Nast for Harper's Weekly)."
in-montana-us-cavalrymen-kill-173-native-americ,"In Montana, U.S. cavalrymen kill 173 Native Americans,",1870,cultural,medium,"In Montana, U.S. cavalrymen kill 173 Native Americans, mostly women and children, in what becomes known as the Marias Massacre."
reconstruction-era-virginia-is-readmitted-to-the,Reconstruction Era: Virginia is readmitted to the Union.,1870,infrastructure,medium,Reconstruction Era: Virginia is readmitted to the Union.
the-seven-brothers-seitsemn-veljest-a-novel-b,"The Seven Brothers (Seitsemän veljestä), a novel by Finnish",1870,cultural,medium,"The Seven Brothers (Seitsemän veljestä), a novel by Finnish author Aleksis Kivi, is published first time in several thin booklets."
the-fifteenth-amendment-to-the-united-states-const,The Fifteenth Amendment to the United States Constitution,1870,diplomatic,medium,"The Fifteenth Amendment to the United States Constitution is ratified, guaranteeing voting rights to male citizens regardless of race."
us-president-ulysses-s-grant-signs-a-joint-resolu,US president Ulysses S. Grant signs a joint resolution of,1870,diplomatic,medium,US president Ulysses S. Grant signs a joint resolution of Congress establishing the U.S. Weather Bureau.
stevens-institute-of-technology-is-founded-in-new,"Stevens Institute of Technology is founded in New Jersey,",1870,exploration,medium,"Stevens Institute of Technology is founded in New Jersey, US, and offers the first Bachelor of Engineering degree in mechanical engineering."
the-palais-garnier-one-of-the-most-famous-opera-h,"The Palais Garnier, one of the most famous opera houses in",1875,infrastructure,medium,"The Palais Garnier, one of the most famous opera houses in the world, is inaugurated in Paris."
the-ss-gothenburg-hits-the-great-barrier-reef-and,The SS Gothenburg hits the Great Barrier Reef and sinks off,1875,cultural,medium,"The SS Gothenburg hits the Great Barrier Reef and sinks off the Australian east coast, killing approximately 100, including a number of high-profile civil servants and dignitaries."
guangxu-emperor-of-qing-dynasty-china-begins-his-r,"Guangxu Emperor of Qing dynasty China begins his reign,",1875,diplomatic,medium,"Guangxu Emperor of Qing dynasty China begins his reign, under Empress Dowager Cixi's regency."
the-first-ever-organized-indoor-game-of-ice-hockey,The first ever organized indoor game of ice hockey is,1875,exploration,medium,"The first ever organized indoor game of ice hockey is played in Montreal, Quebec, Canada as recorded in the Montreal Gazette."
archbishop-of-new-york-john-mccloskey-is-named-the,Archbishop of New York John McCloskey is named the first,1875,exploration,medium,Archbishop of New York John McCloskey is named the first cardinal in the United States.
india-arya-samaj-is-founded-in-mumbai-by-swami-da,India: Arya Samaj is founded in Mumbai by Swami Dayananda,1875,cultural,medium,India: Arya Samaj is founded in Mumbai by Swami Dayananda Saraswati to propagate his goal of social reform.
aristides-wins-the-first-kentucky-derby-with-the-j,Aristides wins the first Kentucky Derby with the jockey,1875,exploration,medium,Aristides wins the first Kentucky Derby with the jockey Oliver Lewis (2:37.75)
signing-of-the-metre-convention-by-17-nations-lead,Signing of the Metre Convention by 17 nations leading to,1875,cultural,medium,Signing of the Metre Convention by 17 nations leading to the establishment of the International System of Units.
the-herzegovinian-rebellion-against-the-ottoman-em,The Herzegovinian rebellion against the Ottoman Empire,1875,conflict,medium,The Herzegovinian rebellion against the Ottoman Empire begins.
the-herzegovina-uprising-against-ottoman-rule-begi,"The Herzegovina Uprising against Ottoman rule begins, which",1875,conflict,medium,"The Herzegovina Uprising against Ottoman rule begins, which would last until 1878 and have far-reaching implications throughout the Balkans."
thomas-edison-receives-a-patent-for-his-incandesce,Thomas Edison receives a patent for his incandescent lamp.,1880,infrastructure,medium,Thomas Edison receives a patent for his incandescent lamp.
thomas-edison-observes-thermionic-emission,Thomas Edison observes Thermionic emission.,1880,exploration,medium,Thomas Edison observes Thermionic emission.
seven-people-are-killed-in-the-mussel-slough-trage,"Seven people are killed in the Mussel Slough Tragedy, a gun",1880,conflict,medium,"Seven people are killed in the Mussel Slough Tragedy, a gun battle in California."
war-of-the-pacific-the-battle-of-arica-the-assau,"War of the Pacific: The Battle of Arica, the assault and",1880,conflict,medium,"War of the Pacific: The Battle of Arica, the assault and capture of Morro de Arica (Arica Cape), ends the Campaña del Desierto (Desert Campaign)."
first-performance-of-o-canada-at-the-congrs-natio,First performance of O Canada at the Congrès national des,1880,exploration,medium,First performance of O Canada at the Congrès national des Canadiens-Français. The song would later become the national anthem of Canada.
australian-bushranger-ned-kelly-is-captured-at-gle,Australian bushranger Ned Kelly is captured at Glenrowan.,1880,cultural,medium,Australian bushranger Ned Kelly is captured at Glenrowan.
france-annexes-tahiti-renaming-the-independent-ki,"France annexes Tahiti, renaming the independent Kingdom of",1880,diplomatic,medium,"France annexes Tahiti, renaming the independent Kingdom of Tahiti as ""Etablissements de français de l'Océanie""."
second-anglo-afghan-war-battle-of-maiwand-afghan,Second Anglo-Afghan War: Battle of Maiwand: Afghan forces,1880,conflict,medium,"Second Anglo-Afghan War: Battle of Maiwand: Afghan forces led by Mohammad Ayub Khan defeat the British Army in battle near Maiwand, Afghanistan."
construction-of-cologne-cathedral-the-most-famous,"Construction of Cologne Cathedral, the most famous landmark",1880,infrastructure,medium,"Construction of Cologne Cathedral, the most famous landmark in Cologne, Germany, is completed."
twenty-five-nations-adopt-sandford-flemings-propo,Twenty-five nations adopt Sandford Fleming's proposal for,1885,cultural,medium,"Twenty-five nations adopt Sandford Fleming's proposal for standard time (and also, time zones)."
sino-french-war-beginning-of-the-battle-of-ni-bo,Sino-French War: Beginning of the Battle of Núi Bop.,1885,conflict,medium,Sino-French War: Beginning of the Battle of Núi Bop.
sino-french-war-french-troops-under-general-oscar,Sino-French War: French troops under General Oscar de,1885,conflict,medium,Sino-French War: French troops under General Oscar de Négrier defeat a numerically superior Qing force at Núi Bop in northern Vietnam.
a-british-force-defeats-a-large-dervish-army-at-th,A British force defeats a large Dervish army at the Battle,1885,conflict,medium,A British force defeats a large Dervish army at the Battle of Abu Klea in the Sudan.
troops-loyal-to-the-mahdi-conquer-khartoum-killin,"Troops loyal to The Mahdi conquer Khartoum, killing the",1885,conflict,medium,"Troops loyal to The Mahdi conquer Khartoum, killing the Governor-General Charles George Gordon."
king-leopold-ii-of-belgium-establishes-the-congo-a,King Leopold II of Belgium establishes the Congo as a,1885,diplomatic,medium,King Leopold II of Belgium establishes the Congo as a personal possession.
the-first-government-approved-japanese-immigrants,The first government-approved Japanese immigrants arrive in,1885,diplomatic,medium,The first government-approved Japanese immigrants arrive in Hawaii.
adventures-of-huckleberry-finn-by-mark-twain-is-pu,Adventures of Huckleberry Finn by Mark Twain is published,1885,cultural,medium,Adventures of Huckleberry Finn by Mark Twain is published in the United States.
the-newly-completed-washington-monument-is-dedicat,The newly completed Washington Monument is dedicated.,1885,infrastructure,medium,The newly completed Washington Monument is dedicated.
sino-french-war-french-army-gains-an-important-vi,Sino-French War: French Army gains an important victory in,1885,conflict,medium,Sino-French War: French Army gains an important victory in the Battle of Đồng Đăng in the Tonkin region of Vietnam.
eritrea-is-consolidated-into-a-colony-by-the-itali,Eritrea is consolidated into a colony by the Italian,1890,diplomatic,medium,Eritrea is consolidated into a colony by the Italian government.
the-united-mine-workers-of-america-is-founded-in-c,"The United Mine Workers of America is founded in Columbus,",1890,cultural,easy,"The United Mine Workers of America is founded in Columbus, Ohio."
nellie-bly-completes-her-round-the-world-journey-i,Nellie Bly completes her round-the-world journey in 72 days.,1890,cultural,medium,Nellie Bly completes her round-the-world journey in 72 days.
the-longest-bridge-in-great-britain-the-forth-bri,"The longest bridge in Great Britain, the Forth Bridge in",1890,infrastructure,medium,"The longest bridge in Great Britain, the Forth Bridge in Scotland, measuring 8,094 feet (2,467 m) long, is opened by the Duke of Rothesay, later King Edward VII."
chancellor-of-the-german-empire-otto-von-bismarck,Chancellor of the German Empire Otto von Bismarck is,1890,diplomatic,medium,Chancellor of the German Empire Otto von Bismarck is dismissed by Emperor Wilhelm II.
the-pan-american-union-is-founded-by-the-first-int,The Pan-American Union is founded by the First,1890,diplomatic,medium,"The Pan-American Union is founded by the First International Conference of American States in Washington, D.C."
the-united-states-census-bureau-begins-using-herma,The United States Census Bureau begins using Herman,1890,cultural,medium,The United States Census Bureau begins using Herman Hollerith's tabulating machine to count census returns.
canada-and-bermuda-are-linked-by-telegraph-cable,Canada and Bermuda are linked by telegraph cable.,1890,infrastructure,medium,Canada and Bermuda are linked by telegraph cable.
the-us-congress-passes-the-sherman-antitrust-act,The U.S. Congress passes the Sherman Antitrust Act.,1890,diplomatic,medium,The U.S. Congress passes the Sherman Antitrust Act.
idaho-is-admitted-as-the-43rd-us-state,Idaho is admitted as the 43rd U.S. state.,1890,cultural,medium,Idaho is admitted as the 43rd U.S. state.
dreyfus-affair-french-army-officer-alfred-dreyfus,Dreyfus affair: French army officer Alfred Dreyfus is,1895,conflict,medium,Dreyfus affair: French army officer Alfred Dreyfus is stripped of his rank and sentenced to life imprisonment on Devil's Island.
the-national-trust-is-founded-in-the-united-kingdo,The National Trust is founded in the United Kingdom.,1895,diplomatic,medium,The National Trust is founded in the United Kingdom.
first-italo-ethiopian-war-the-wars-opening-battl,"First Italo-Ethiopian War: The war's opening battle, the",1895,conflict,medium,"First Italo-Ethiopian War: The war's opening battle, the Battle of Coatit, occurs; it is an Italian victory."
fountains-valley-pretoria-the-oldest-nature-rese,"Fountains Valley, Pretoria, the oldest nature reserve in",1895,diplomatic,medium,"Fountains Valley, Pretoria, the oldest nature reserve in Africa, is proclaimed by President Paul Kruger."
william-g-morgan-creates-a-game-called-mintonette,"William G. Morgan creates a game called Mintonette, which",1895,cultural,medium,"William G. Morgan creates a game called Mintonette, which soon comes to be referred to as volleyball."
auguste-and-louis-lumire-record-their-first-foota,Auguste and Louis Lumière record their first footage using,1895,exploration,medium,Auguste and Louis Lumière record their first footage using their newly patented cinematograph.
the-trial-in-the-libel-case-brought-by-oscar-wilde,"The trial in the libel case brought by Oscar Wilde begins,",1895,cultural,medium,"The trial in the libel case brought by Oscar Wilde begins, eventually resulting in his imprisonment on charges of homosexuality."
in-pollock-v-farmers-loan-trust-co-the-suprem,In Pollock v. Farmers' Loan & Trust Co. the Supreme Court,1895,diplomatic,medium,In Pollock v. Farmers' Loan & Trust Co. the Supreme Court of the United States declares unapportioned income tax to be unconstitutional.
nigeria-becomes-british-protectorate-with-frederic,Nigeria becomes British protectorate with Frederick Lugard,1900,exploration,medium,Nigeria becomes British protectorate with Frederick Lugard as high commissioner.
american-statesman-and-diplomat-john-hay-announces,American statesman and diplomat John Hay announces the Open,1900,cultural,medium,American statesman and diplomat John Hay announces the Open Door Policy to promote trade with China.
chicago-canal-opens,Chicago Canal opens.,1900,infrastructure,medium,Chicago Canal opens.
irish-nationalist-leader-john-edward-redmond-calls,Irish nationalist leader John Edward Redmond calls for,1900,conflict,medium,Irish nationalist leader John Edward Redmond calls for revolt against British rule.
second-boer-war-having-already-besieged-the-fortr,Second Boer War: Having already besieged the fortress at,1900,conflict,medium,"Second Boer War: Having already besieged the fortress at Ladysmith, Boer forces attack it, but are driven back by British defenders."
president-william-mckinley-places-alaska-under-mi,President William McKinley  places Alaska under military,1900,conflict,medium,President William McKinley  places Alaska under military rule.
to-combat-czech-nationalism-emperor-franz-joseph,"To combat Czech nationalism, Emperor Franz Joseph decrees",1900,conflict,medium,"To combat Czech nationalism, Emperor Franz Joseph decrees German will be language of the Austro-Hungarian Armed Forces."
giacomo-puccinis-tosca-opens-in-rome,Giacomo Puccini's Tosca opens in Rome.,1900,cultural,medium,Giacomo Puccini's Tosca opens in Rome.
the-united-states-senate-accepts-the-anglo-german,The United States Senate accepts the Anglo-German treaty of,1900,diplomatic,medium,The United States Senate accepts the Anglo-German treaty of 1899 in which the United Kingdom renounces its claims to the Samoan islands.
second-boer-war-the-battle-of-spion-kop-between-t,Second Boer War: The Battle of Spion Kop between the forces,1900,conflict,medium,Second Boer War: The Battle of Spion Kop between the forces of the South African Republic and the Orange Free State and British forces ends in a British defeat.
the-first-american-college-football-bowl-game-the,"The first American college football bowl game, the Rose",1902,exploration,medium,"The first American college football bowl game, the Rose Bowl between Michigan and Stanford, is held in Pasadena, California."
the-carnegie-institution-of-washington-is-founded,The Carnegie Institution of Washington is founded in,1902,cultural,medium,"The Carnegie Institution of Washington is founded in Washington, D.C. with a $10 million gift from Andrew Carnegie."
the-first-anglo-japanese-alliance-is-signed-in-lon,The first Anglo-Japanese Alliance is signed in London.,1902,diplomatic,medium,The first Anglo-Japanese Alliance is signed in London.
second-boer-war-australian-soldiers-harry-breake,"Second Boer War: Australian soldiers Harry ""Breaker"" Morant",1902,conflict,medium,"Second Boer War: Australian soldiers Harry ""Breaker"" Morant and Peter Handcock are executed in Pretoria after being convicted of war crimes."
second-boer-war-boers-led-by-koos-de-la-rey-inf,"Second Boer War: Boers, led by Koos de la Rey, inflict the",1902,conflict,medium,"Second Boer War: Boers, led by Koos de la Rey, inflict the biggest defeat upon the British since the beginning of the war, at Tweebosch."
macario-sakay-issues-presidential-order-no-1-of-h,Macario Sakay issues Presidential Order No. 1 of his,1902,diplomatic,medium,Macario Sakay issues Presidential Order No. 1 of his Tagalog Republic.
dmitry-sipyagin-minister-of-interior-of-the-russi,"Dmitry Sipyagin, Minister of Interior of the Russian",1902,cultural,medium,"Dmitry Sipyagin, Minister of Interior of the Russian Empire, is assassinated in the Marie Palace, Saint Petersburg."
electric-theatre-the-first-full-time-movie-thea,"""Electric Theatre"", the first full-time movie theater in",1902,cultural,medium,"""Electric Theatre"", the first full-time movie theater in the United States, opens in Los Angeles."
a-stand-box-collapses-at-ibrox-park-now-ibrox-sta,A stand box collapses at Ibrox Park (now Ibrox Stadium) in,1902,cultural,medium,"A stand box collapses at Ibrox Park (now Ibrox Stadium) in Glasgow, Scotland, which led to the deaths of 25 and injuries to more than 500 supporters during an international association football match between Scotland and England."
the-75-mw-guatemala-earthquake-shakes-guatemala,The 7.5 Mw  Guatemala earthquake shakes Guatemala with a,1902,disasters,medium,"The 7.5 Mw  Guatemala earthquake shakes Guatemala with a maximum Mercalli intensity of VIII (Severe), killing between 800 and 2,000."
the-distress-signal-cqd-is-established-only-to-b,"The distress signal ""CQD"" is established only to be",1904,cultural,medium,"The distress signal ""CQD"" is established only to be replaced two years later by ""SOS""."
anton-chekhovs-the-cherry-orchard-receives-its-pr,Anton Chekhov's The Cherry Orchard receives its premiere,1904,cultural,medium,Anton Chekhov's The Cherry Orchard receives its premiere performance at the Moscow Art Theatre.
lesund-fire-the-norwegian-coastal-town-lesund-i,Ålesund Fire: The Norwegian coastal town Ålesund is,1904,disasters,medium,"Ålesund Fire: The Norwegian coastal town Ålesund is devastated by fire, leaving 10,000 people homeless and one person dead. Kaiser Wilhelm II funds the rebuilding of the town in Jugendstil style."
a-fire-begins-in-baltimore-maryland-it-destroys,"A fire begins in Baltimore, Maryland; it destroys over",1904,disasters,medium,"A fire begins in Baltimore, Maryland; it destroys over 1,500 buildings in 30 hours."
aceh-war-dutch-colonial-armys-marechaussee-regim,Aceh War: Dutch Colonial Army's Marechaussee regiment led,1904,conflict,medium,"Aceh War: Dutch Colonial Army's Marechaussee regiment led by General G.C.E. van Daalen launch military campaign to capture Gayo Highland, Alas Highland, and Batak Highland in Dutch East Indies' Northern Sumatra region, which ends with genocide to Acehnese and Bataks people."
the-united-kingdom-sells-a-meteorological-station,The United Kingdom sells a meteorological station on the,1904,diplomatic,medium,The United Kingdom sells a meteorological station on the South Orkney Islands to Argentina; the islands are subsequently claimed by the United Kingdom in 1908.[citation needed]
the-united-states-begins-construction-of-the-panam,The United States begins construction of the Panama Canal.,1904,infrastructure,medium,The United States begins construction of the Panama Canal.
ss-valencia-runs-aground-on-rocks-on-vancouver-isl,"SS Valencia runs aground on rocks on Vancouver Island,",1906,cultural,medium,"SS Valencia runs aground on rocks on Vancouver Island, British Columbia, killing more than 130."
hms-dreadnought-the-first-of-a-revolutionary-new,"HMS Dreadnought, the first of a revolutionary new breed of",1906,conflict,medium,"HMS Dreadnought, the first of a revolutionary new breed of battleships, is christened."
pope-pius-x-publishes-the-encyclical-vehementer-no,Pope Pius X publishes the encyclical Vehementer Nos.,1906,cultural,medium,Pope Pius X publishes the encyclical Vehementer Nos.
douard-de-laveleye-forms-the-belgian-olympic-comm,Édouard de Laveleye forms the Belgian Olympic Committee in,1906,cultural,medium,Édouard de Laveleye forms the Belgian Olympic Committee in Brussels.
moro-rebellion-united-states-army-troops-bring-ov,Moro Rebellion: United States Army troops bring,1906,conflict,medium,"Moro Rebellion: United States Army troops bring overwhelming force against the native Moros in the First Battle of Bud Dajo, leaving only six survivors."
the-first-england-vs-france-rugby-union-match-is-p,The first England vs France rugby union match is played at,1906,exploration,medium,The first England vs France rugby union match is played at Parc des Princes in Paris.
the-intercollegiate-athletic-association-of-the-un,The Intercollegiate Athletic Association of the United,1906,cultural,medium,The Intercollegiate Athletic Association of the United States (later the National Collegiate Athletic Association) is established to set rules for college sports in the United States.
mount-vesuvius-erupts-and-devastates-naples,Mount Vesuvius erupts and devastates Naples.,1906,cultural,medium,Mount Vesuvius erupts and devastates Naples.
the-algeciras-conference-gives-france-and-spain-co,The Algeciras Conference gives France and Spain control,1906,diplomatic,medium,The Algeciras Conference gives France and Spain control over Morocco.
grand-canyon-national-monument-is-created,Grand Canyon National Monument is created.,1908,cultural,medium,Grand Canyon National Monument is created.
the-rhoads-opera-house-fire-in-boyertown-pennsylv,"The Rhoads Opera House fire in Boyertown, Pennsylvania",1908,disasters,medium,"The Rhoads Opera House fire in Boyertown, Pennsylvania kills 171 people."
the-alpha-kappa-alpha-sorority-becomes-the-first-g,The Alpha Kappa Alpha sorority becomes the first,1908,exploration,medium,The Alpha Kappa Alpha sorority becomes the first Greek-letter organization founded and established by African American college women.
new-york-city-passes-the-sullivan-ordinance-makin,"New York City passes the Sullivan Ordinance, making it",1908,diplomatic,medium,"New York City passes the Sullivan Ordinance, making it illegal for women to smoke in public, only to have the measure vetoed by the mayor."
the-first-boy-scout-troop-is-organized-in-england,The first Boy Scout troop is organized in England by Robert,1908,exploration,medium,The first Boy Scout troop is organized in England by Robert Baden-Powell.
members-of-the-portuguese-republican-party-fail-in,Members of the Portuguese Republican Party fail in their,1908,conflict,medium,Members of the Portuguese Republican Party fail in their attempted coup d'état against the administrative dictatorship of Prime Minister João Franco.
indian-pacifist-and-leader-mohandas-karamchand-gan,Indian pacifist and leader Mohandas Karamchand Gandhi is,1908,cultural,medium,Indian pacifist and leader Mohandas Karamchand Gandhi is released from prison by Jan C. Smuts after being tried and sentenced to two months in jail earlier in the month.
lisbon-regicide-king-carlos-i-of-portugal-and-inf,Lisbon Regicide: King Carlos I of Portugal and Infante Luis,1908,diplomatic,medium,Lisbon Regicide: King Carlos I of Portugal and Infante Luis Filipe are shot dead in Lisbon.
the-collinwood-school-fire-collinwood-near-clevel,"The Collinwood school fire, Collinwood near Cleveland,",1908,disasters,medium,"The Collinwood school fire, Collinwood near Cleveland, Ohio, kills 174 people."
inter-milan-was-founded-on-football-club-internazi,"Inter Milan was founded on Football Club Internazionale,",1908,cultural,medium,"Inter Milan was founded on Football Club Internazionale, following a schism from A.C. Milan."
captain-david-beatty-is-promoted-to-rear-admiral,"Captain David Beatty is promoted to Rear admiral, and",1910,conflict,medium,"Captain David Beatty is promoted to Rear admiral, and becomes the youngest admiral in the Royal Navy (except for Royal family members) since Horatio Nelson."
the-first-public-radio-broadcast-takes-place-a-li,The first public radio broadcast takes place; a live,1910,exploration,medium,The first public radio broadcast takes place; a live performance of the operas Cavalleria rusticana and Pagliacci is sent out over the airwaves from the Metropolitan Opera House in New York.
construction-ends-on-the-buffalo-bill-dam-in-wyomi,"Construction ends on the Buffalo Bill Dam in Wyoming,",1910,infrastructure,medium,"Construction ends on the Buffalo Bill Dam in Wyoming, United States, which was the highest dam in the world at the time, at 99 m (325 ft)."
the-boy-scouts-of-america-is-incorporated-by-willi,The Boy Scouts of America is incorporated by William D.,1910,cultural,medium,The Boy Scouts of America is incorporated by William D. Boyce.
the-deadliest-avalanche-in-united-states-history-b,The deadliest avalanche in United States history buries a,1910,diplomatic,medium,"The deadliest avalanche in United States history buries a Great Northern Railway train in northeastern King County, Washington, killing 96 people."
rockefeller-foundation-john-d-rockefeller-jr-an,Rockefeller Foundation: John D. Rockefeller Jr. announces,1910,cultural,medium,Rockefeller Foundation: John D. Rockefeller Jr. announces his retirement from managing his businesses so that he can devote all his time to philanthropy.
french-aviator-raymonde-de-laroche-becomes-the-fir,French aviator Raymonde de Laroche becomes the first woman,1910,exploration,medium,French aviator Raymonde de Laroche becomes the first woman to receive a pilot's license.
henri-fabre-becomes-the-first-person-to-fly-a-seap,"Henri Fabre becomes the first person to fly a seaplane, the",1910,diplomatic,medium,"Henri Fabre becomes the first person to fly a seaplane, the Fabre Hydravion, after taking off from a water runway near in France."
the-transandine-railway-connecting-chile-and-argen,The Transandine Railway connecting Chile and Argentina is,1910,infrastructure,medium,The Transandine Railway connecting Chile and Argentina is inaugurated.
sms-zrnyi-one-of-the-last-pre-dreadnought-battle,"SMS Zrínyi, one of the last pre-dreadnought battleships",1910,conflict,medium,"SMS Zrínyi, one of the last pre-dreadnought battleships built by the Austro-Hungarian Navy, is launched."
the-scout-association-is-incorporated-throughout-t,The Scout Association is incorporated throughout the,1912,cultural,medium,The Scout Association is incorporated throughout the British Empire by royal charter.
the-sixth-all-russian-conference-of-the-russian-so,The sixth All-Russian Conference of the Russian Social,1912,diplomatic,medium,"The sixth All-Russian Conference of the Russian Social Democratic Labour Party (Prague Party Conference) opens. In the course of the conference, Vladimir Lenin and his supporters break from the rest of the party to form the Bolshevik movement."
new-mexico-is-admitted-to-the-union-as-the-47th-u,New Mexico is admitted to the Union as the 47th U.S. state.,1912,cultural,medium,New Mexico is admitted to the Union as the 47th U.S. state.
german-geophysicist-alfred-wegener-first-presents,German geophysicist Alfred Wegener first presents his,1912,exploration,medium,German geophysicist Alfred Wegener first presents his theory of continental drift.
the-african-national-congress-is-founded-under-th,"The African National Congress is founded, under the name",1912,diplomatic,medium,"The African National Congress is founded, under the name South African Native National Congress (SANNC)."
