friendly_name,wikipedia_url,wikipedia_views,category,year,difficulty
Anti-Comintern Pact,https://en.wikipedia.org/wiki/Anti-Comintern_Pact,106555,diplomatic,1936,hard
White Ship Sinks,https://en.wikipedia.org/wiki/White_Ship_disaster,106623,disasters,1120,hard
North Sea Flood,https://en.wikipedia.org/wiki/North_Sea_flood_of_1953,106945,disasters,1953,hard
Kashmir Earthquake,https://en.wikipedia.org/wiki/2005_Kashmir_earthquake,108087,disasters,2005,hard
Garibaldi's Expedition,https://en.wikipedia.org/wiki/Expedition_of_the_Thousand,109417,exploration,1860,hard
British Occupation of Egypt,https://en.wikipedia.org/wiki/History_of_Egypt_under_the_British,109746,diplomatic,1882,hard
Printing Invented in China,https://en.wikipedia.org/wiki/Printing,110006,exploration,650,hard
Pompey Conquers Jerusalem,https://en.wikipedia.org/wiki/History_of_the_Jews_in_the_Roman_Empire,110441,conflict,-63,hard
Treaty of Lisbon,https://en.wikipedia.org/wiki/Treaty_of_Lisbon,110680,diplomatic,2007,hard
AIDS Quilt Displayed,https://en.wikipedia.org/wiki/NAMES_Project_AIDS_Memorial_Quilt,111367,cultural,1987,hard
Baths of Caracalla Completed,https://en.wikipedia.org/wiki/Baths_of_Caracalla,112447,infrastructure,216,hard
Act of Union (Ireland),https://en.wikipedia.org/wiki/Acts_of_Union_1800,112894,diplomatic,1800,hard
Atlantic Charter,https://en.wikipedia.org/wiki/Atlantic_Charter,114491,diplomatic,1941,hard
Treaty of Paris (Seven Years War),https://en.wikipedia.org/wiki/Treaty_of_Paris_(1763),114617,diplomatic,1763,hard
Movable Type Invented,https://en.wikipedia.org/wiki/Movable_type,114823,exploration,1040,hard
South Vietnam Coup,https://en.wikipedia.org/wiki/1963_South_Vietnamese_coup_d'état,116420,conflict,1963,hard
Ministry of Jesus Begins,https://en.wikipedia.org/wiki/Ministry_of_Jesus,116547,cultural,30,hard
Young Turk Revolution,https://en.wikipedia.org/wiki/Young_Turk_Revolution,119341,diplomatic,1908,hard
Statute of Westminster,https://en.wikipedia.org/wiki/Statute_of_Westminster_1931,119759,diplomatic,1931,hard
Club of Rome Report,https://en.wikipedia.org/wiki/Club_of_Rome,120840,diplomatic,1972,hard
GATT Established,https://en.wikipedia.org/wiki/General_Agreement_on_Tariffs_and_Trade,122258,diplomatic,1947,hard
Plato Founds the Academy,https://en.wikipedia.org/wiki/Platonic_Academy,122426,cultural,-387,hard
Banqiao Dam Failure,https://en.wikipedia.org/wiki/1975_Banqiao_Dam_failure,122838,disasters,1975,hard
Carbon-14 Discovered,https://en.wikipedia.org/wiki/Carbon-14,123065,exploration,1940,hard
US Bombs Libya,https://en.wikipedia.org/wiki/1986_United_States_bombing_of_Libya,124515,diplomatic,1986,hard
First Email Sent,https://en.wikipedia.org/wiki/History_of_email,124611,cultural,1971,hard
Battle of Hampton Roads,https://en.wikipedia.org/wiki/Battle_of_Hampton_Roads,124948,conflict,1862,hard
Washington Naval Treaty,https://en.wikipedia.org/wiki/Washington_Naval_Treaty,125004,diplomatic,1922,hard
New Madrid Earthquakes,https://en.wikipedia.org/wiki/1811–1812_New_Madrid_earthquakes,125139,disasters,1811,hard
Battle of Marengo,https://en.wikipedia.org/wiki/Battle_of_Marengo,125676,conflict,1800,hard
Antonine Plague,https://en.wikipedia.org/wiki/Antonine_Plague,126207,disasters,165,hard
First Artificial Heart,https://en.wikipedia.org/wiki/Artificial_heart,126238,cultural,1982,hard
Triple Alliance Formed,https://en.wikipedia.org/wiki/Triple_Alliance_(1882),126351,diplomatic,1882,hard
Nika Riots,https://en.wikipedia.org/wiki/Nika_riots,126363,conflict,532,hard
Anglo-Irish Treaty Ratified,https://en.wikipedia.org/wiki/Anglo-Irish_Treaty,126674,diplomatic,1922,hard
Seagram Building Completed,https://en.wikipedia.org/wiki/Seagram_Building,126956,infrastructure,1958,hard
Montreal Protocol Signed,https://en.wikipedia.org/wiki/Montreal_Protocol,127525,diplomatic,1987,hard
Minamoto Yoritomo Becomes Shogun,https://en.wikipedia.org/wiki/Minamoto_no_Yoritomo,129785,diplomatic,1192,hard
Cyrus Cylinder,https://en.wikipedia.org/wiki/Cyrus_Cylinder,129907,diplomatic,-539,hard
Soviet Russian Famine,https://en.wikipedia.org/wiki/Russian_famine_of_1921–1922,129939,disasters,1921,hard
SEATO Formed,https://en.wikipedia.org/wiki/Southeast_Asia_Treaty_Organization,130088,diplomatic,1954,hard
Second Triumvirate,https://en.wikipedia.org/wiki/Second_Triumvirate,131173,diplomatic,-43,hard
US-China Spy Plane Incident,https://en.wikipedia.org/wiki/Hainan_Island_incident,131309,diplomatic,2001,hard
Atomic Nucleus Discovered,https://en.wikipedia.org/wiki/Atomic_nucleus,131725,exploration,1911,hard
Hurricane Mitch,https://en.wikipedia.org/wiki/Hurricane_Mitch,132206,disasters,1998,hard
Second Battle of Ypres (First Gas Attack),https://en.wikipedia.org/wiki/Second_Battle_of_Ypres,132428,conflict,1915,hard
First Scheduled Airline,https://en.wikipedia.org/wiki/Airline,133108,exploration,1914,hard
Neanderthals Thrive in Europe,https://en.wikipedia.org/wiki/Neanderthal_extinction,133398,diplomatic,-100000,hard
British Electoral Reform Act,https://en.wikipedia.org/wiki/Reform_Act_1832,136054,diplomatic,1832,hard
Yuan Dynasty Established,https://en.wikipedia.org/wiki/Northern_Yuan,136102,cultural,1271,hard
First Irrigation Systems,https://en.wikipedia.org/wiki/Irrigation,136357,diplomatic,-5000,hard
Gunpowder Formula First Recorded,https://en.wikipedia.org/wiki/Gunpowder_empires,136729,exploration,1044,hard
Abstract Expressionism Emerges,https://en.wikipedia.org/wiki/Abstract_expressionism,137226,cultural,1943,hard
Battle of Pharsalus,https://en.wikipedia.org/wiki/Battle_of_Pharsalus,138711,conflict,-48,hard
Black Hole of Calcutta,https://en.wikipedia.org/wiki/Black_Hole_of_Calcutta,138727,diplomatic,1756,hard
Siege of Masada,https://en.wikipedia.org/wiki/Siege_of_Masada,139402,conflict,73,hard
Bandung Conference,https://en.wikipedia.org/wiki/Bandung_Conference,139649,diplomatic,1955,hard
Destruction of Carthage,https://en.wikipedia.org/wiki/Siege_of_Carthage_(Third_Punic_War),139824,conflict,-146,hard
Cell Theory Established,https://en.wikipedia.org/wiki/Cell_theory,140096,exploration,1839,hard
Centre Pompidou Opens,https://en.wikipedia.org/wiki/Centre_Pompidou,140636,infrastructure,1977,hard
Transamerica Pyramid Completed,https://en.wikipedia.org/wiki/Transamerica_Pyramid,141610,infrastructure,1972,hard
First Siege of Vienna,https://en.wikipedia.org/wiki/Siege_of_Vienna_(1529),141739,conflict,1529,hard
Seikan Tunnel Opens,https://en.wikipedia.org/wiki/Seikan_Tunnel,142821,infrastructure,1988,hard
Ashoka's Edicts,https://en.wikipedia.org/wiki/Edicts_of_Ashoka,143416,diplomatic,-260,hard
China's Reform and Opening,https://en.wikipedia.org/wiki/Reform_and_opening_up,143549,diplomatic,1978,hard
Super Tornado Outbreak,https://en.wikipedia.org/wiki/1974_Super_Outbreak,143682,disasters,1974,hard
Battle of Adrianople,https://en.wikipedia.org/wiki/Battle_of_Adrianople,144017,conflict,378,hard
Charles V Elected Holy Roman Emperor,"https://en.wikipedia.org/wiki/Charles_VII,_Holy_Roman_Emperor",144463,diplomatic,1519,hard
Crimean Bridge Opens,https://en.wikipedia.org/wiki/Crimean_Bridge,144470,infrastructure,2018,hard
Battle of Sedan,https://en.wikipedia.org/wiki/Battle_of_Sedan,144693,conflict,1870,hard
Hague Conventions,https://en.wikipedia.org/wiki/Hague_Conventions_of_1899_and_1907,145182,diplomatic,1899,hard
India's Mars Orbiter Mission,https://en.wikipedia.org/wiki/Mars_Orbiter_Mission,145791,exploration,2014,hard
Cascadia Earthquake,https://en.wikipedia.org/wiki/1700_Cascadia_earthquake,145810,disasters,1700,hard
Battle of Milvian Bridge,https://en.wikipedia.org/wiki/Battle_of_the_Milvian_Bridge,146838,conflict,312,hard
Torricelli Invents Barometer,https://en.wikipedia.org/wiki/Barometer,148378,exploration,1643,hard
Battle of Blenheim,https://en.wikipedia.org/wiki/Battle_of_Blenheim,150156,conflict,1704,hard
Trajan's Column Erected,https://en.wikipedia.org/wiki/Trajan's_Column,150634,infrastructure,113,hard
Peterloo Massacre,https://en.wikipedia.org/wiki/Peterloo_Massacre,151411,conflict,1819,hard
Herodotus Writes Histories,https://en.wikipedia.org/wiki/Histories_(Herodotus),151498,exploration,-440,hard
Delian League Founded,https://en.wikipedia.org/wiki/Delian_League,151598,diplomatic,-478,hard
De-Stalinization Speech,https://en.wikipedia.org/wiki/De-Stalinization,153007,diplomatic,1956,hard
Itaipu Dam Completed,https://en.wikipedia.org/wiki/Itaipu_Dam,153101,infrastructure,1984,hard
De Soto Reaches Mississippi,https://en.wikipedia.org/wiki/Hernando_de_Soto,153166,exploration,1541,hard
An Lushan Rebellion,https://en.wikipedia.org/wiki/An_Lushan_rebellion,153269,conflict,755,hard
Continental Drift Proposed,https://en.wikipedia.org/wiki/Continental_drift,153651,exploration,1912,hard
Ethiopian Victory at Adwa,https://en.wikipedia.org/wiki/Battle_of_Adwa,154850,diplomatic,1896,hard
Bessemer Process,https://en.wikipedia.org/wiki/Bessemer_process,155744,diplomatic,1856,hard
Tōdai-ji Temple Completed,https://en.wikipedia.org/wiki/Tōdai-ji,156116,infrastructure,752,hard
Gandhi's Non-Cooperation Movement,https://en.wikipedia.org/wiki/Non-cooperation_movement_(1919–1922),156301,cultural,1920,hard
Château de Chambord Built,https://en.wikipedia.org/wiki/Château_de_Chambord,156401,infrastructure,1547,hard
Tasman Reaches Tasmania,https://en.wikipedia.org/wiki/Abel_Tasman,156847,exploration,1642,hard
Battle of Poitiers,https://en.wikipedia.org/wiki/Battle_of_Poitiers,157657,conflict,1356,hard
First Life on Earth,https://en.wikipedia.org/wiki/Earliest_known_life_forms,158495,exploration,-3800000000,hard
Shays' Rebellion,https://en.wikipedia.org/wiki/Shays's_Rebellion,158766,conflict,1786,hard
Papal Year of Three Popes,https://en.wikipedia.org/wiki/Year_of_three_popes,159169,cultural,1978,hard
Eritrea Independence,https://en.wikipedia.org/wiki/Eritrean_War_of_Independence,159631,diplomatic,1993,hard
Tuskegee Institute Founded,https://en.wikipedia.org/wiki/Tuskegee_University,159896,diplomatic,1881,hard
Year of the Four Emperors,https://en.wikipedia.org/wiki/Year_of_the_Four_Emperors,159926,conflict,69,hard
Diocletian Divides Empire,https://en.wikipedia.org/wiki/History_of_the_Roman_Empire,161204,diplomatic,286,hard
Solon's Reforms in Athens,https://en.wikipedia.org/wiki/Solon,161322,cultural,-594,hard
South Sea Bubble,https://en.wikipedia.org/wiki/South_Sea_Company,161539,diplomatic,1720,hard
Mongol Invasion of Rus',https://en.wikipedia.org/wiki/Mongol_invasion_of_Kievan_Rus',161946,conflict,1237,hard
First Miss America Pageant,https://en.wikipedia.org/wiki/Miss_America,162449,cultural,1921,hard
Henry IV Deposes Richard II,https://en.wikipedia.org/wiki/Richard_II_(play),162487,diplomatic,1399,hard
Belgian Independence,https://en.wikipedia.org/wiki/Belgian_Revolution,164943,diplomatic,1830,hard
Belgium Independence,https://en.wikipedia.org/wiki/Belgian_Revolution,164943,diplomatic,1831,hard
Grand Canal of China Extended,https://en.wikipedia.org/wiki/Grand_Canal_(China),165308,infrastructure,609,hard
African Year of Independence,https://en.wikipedia.org/wiki/Decolonisation_of_Africa,169303,diplomatic,1960,hard
First Transatlantic Cable,https://en.wikipedia.org/wiki/Transatlantic_telegraph_cable,170032,diplomatic,1858,hard
Rhapsody in Blue Premiere,https://en.wikipedia.org/wiki/Rhapsody_in_Blue,170037,cultural,1924,hard
Gotthard Base Tunnel Opens,https://en.wikipedia.org/wiki/Gotthard_Base_Tunnel,170091,infrastructure,2016,hard
Blue Ribbon Sports Founded,https://en.wikipedia.org/wiki/Pabst_Blue_Ribbon,170645,cultural,1964,hard
First Triumvirate,https://en.wikipedia.org/wiki/First_Triumvirate,171128,diplomatic,-60,hard
Earth's Circumference Calculated,https://en.wikipedia.org/wiki/Earth's_circumference,171259,exploration,-240,hard
Doña Paz Disaster,https://en.wikipedia.org/wiki/MV_Doña_Paz,171487,disasters,1987,hard
Panic of 1893,https://en.wikipedia.org/wiki/Panic_of_1893,172088,diplomatic,1893,hard
Rome Statute Adopted,https://en.wikipedia.org/wiki/Rome_Statute,173201,diplomatic,1998,hard
First English Parliament,https://en.wikipedia.org/wiki/Parliament_of_England,174880,diplomatic,1265,hard
Fall of Israel (Northern Kingdom),https://en.wikipedia.org/wiki/Kings_of_Israel_and_Judah,175329,diplomatic,-722,hard
First Islamic Civil War,https://en.wikipedia.org/wiki/First_Fitna,175960,conflict,656,hard
EFTA Formed,https://en.wikipedia.org/wiki/European_Free_Trade_Association,177399,diplomatic,1960,hard
El Escorial Completed,https://en.wikipedia.org/wiki/El_Escorial,177488,infrastructure,1584,hard
Battle of Poltava,https://en.wikipedia.org/wiki/Battle_of_Poltava,177520,conflict,1709,hard
First Photograph Taken,https://en.wikipedia.org/wiki/Photograph,178600,cultural,1826,hard
Tangshan Earthquake,https://en.wikipedia.org/wiki/1976_Tangshan_earthquake,179216,disasters,1976,hard
First Public Television Broadcast,https://en.wikipedia.org/wiki/Public_broadcasting,179850,cultural,1936,hard
Nevado del Ruiz Eruption,https://en.wikipedia.org/wiki/Armero_tragedy,180741,disasters,1985,hard
International Labour Organization Founded,https://en.wikipedia.org/wiki/International_Labour_Organization,180746,diplomatic,1919,hard
Slavery Compromise,https://en.wikipedia.org/wiki/Three-fifths_Compromise,180767,diplomatic,1850,hard
Hong Kong-Zhuhai-Macau Bridge Opens,https://en.wikipedia.org/wiki/Hong_Kong–Zhuhai–Macau_Bridge,181377,infrastructure,2018,hard
First Hole in Ozone Layer,https://en.wikipedia.org/wiki/Ozone_depletion,182737,diplomatic,1985,hard
Battle of Kadesh,https://en.wikipedia.org/wiki/Battle_of_Kadesh,182857,conflict,-1274,hard
Second Balkan War,https://en.wikipedia.org/wiki/Second_Balkan_War,183666,conflict,1913,hard
Five Good Emperors Era Begins,https://en.wikipedia.org/wiki/Nerva–Antonine_dynasty,183810,diplomatic,96,hard
Battle of Flodden,https://en.wikipedia.org/wiki/Battle_of_Flodden,184263,conflict,1513,hard
Tehran Conference,https://en.wikipedia.org/wiki/Tehran_Conference,185621,conflict,1943,hard
Peshtigo Fire,https://en.wikipedia.org/wiki/Peshtigo_fire,186197,disasters,1871,hard
Foucault Pendulum,https://en.wikipedia.org/wiki/Foucault_pendulum,187464,exploration,1851,hard
Cyrillic Alphabet Created,https://en.wikipedia.org/wiki/Cyrillic_alphabets,190631,exploration,863,hard
Boyle's Law,https://en.wikipedia.org/wiki/Boyle's_law,191047,exploration,1662,hard
Monet's Impression Sunrise,"https://en.wikipedia.org/wiki/Impression,_Sunrise",191442,diplomatic,1872,hard
Texas City Disaster,https://en.wikipedia.org/wiki/Texas_City_disaster,192393,disasters,1947,hard
Treaty of Waitangi,https://en.wikipedia.org/wiki/Treaty_of_Waitangi,193803,diplomatic,1840,hard
New World Symphony Premiered,https://en.wikipedia.org/wiki/Symphony_No._9_(Dvořák),194427,cultural,1893,hard
Brazil Abolishes Slavery,https://en.wikipedia.org/wiki/Timeline_of_abolition_of_slavery_and_serfdom,195364,diplomatic,1888,hard
Gibbon's Decline and Fall Published,https://en.wikipedia.org/wiki/The_History_of_the_Decline_and_Fall_of_the_Roman_Empire,196422,cultural,1776,hard
Expulsion of Jews from England,https://en.wikipedia.org/wiki/Edict_of_Expulsion,198117,cultural,1290,hard
Ziggurat of Ur Built,https://en.wikipedia.org/wiki/Ziggurat_of_Ur,198614,infrastructure,-2100,hard
German Peasants' War Begins,https://en.wikipedia.org/wiki/German_Peasants'_War,198734,conflict,1524,hard
Singapore Independence,https://en.wikipedia.org/wiki/History_of_Singapore,199140,diplomatic,1965,hard
Great Exhibition Opens,https://en.wikipedia.org/wiki/Great_Exhibition,199220,diplomatic,1851,hard
Vajont Dam Disaster,https://en.wikipedia.org/wiki/Vajont_Dam,200646,disasters,1963,hard
Irish Rebellion of 1798,https://en.wikipedia.org/wiki/Irish_Rebellion_of_1798,200705,conflict,1798,hard
War of Jenkins' Ear,https://en.wikipedia.org/wiki/War_of_Jenkins'_Ear,200916,conflict,1739,hard
Step Pyramid of Djoser Built,https://en.wikipedia.org/wiki/Pyramid_of_Djoser,201306,infrastructure,-2650,hard
Koch Identifies TB Bacteria,https://en.wikipedia.org/wiki/Mycobacterium_tuberculosis,201723,exploration,1882,hard
First Punic War Begins,https://en.wikipedia.org/wiki/Punic_people,202073,conflict,-264,hard
Apollo 5 Lunar Module,https://en.wikipedia.org/wiki/Apollo_Lunar_Module,202699,exploration,1968,hard
First Telegraph Message,https://en.wikipedia.org/wiki/Telegraphy,203357,diplomatic,1844,hard
Athens Surrenders to Sparta,https://en.wikipedia.org/wiki/Athenian_democracy,203660,diplomatic,-404,hard
Great European Famine,https://en.wikipedia.org/wiki/Great_Famine_of_1315–1317,204753,disasters,1315,hard
Ishtar Gate of Babylon Built,https://en.wikipedia.org/wiki/Ishtar_Gate,204969,infrastructure,-575,hard
End of First Punic War,https://en.wikipedia.org/wiki/First_Punic_War,205102,diplomatic,-241,hard
War of the Pacific,https://en.wikipedia.org/wiki/War_of_the_Pacific,205623,conflict,1879,hard
Newgrange Built,https://en.wikipedia.org/wiki/Newgrange,205687,infrastructure,-3200,hard
Eyeglasses Invented,https://en.wikipedia.org/wiki/Glasses,206712,exploration,1286,hard
Dalton's Atomic Theory,https://en.wikipedia.org/wiki/John_Dalton,206889,exploration,1803,hard
Umayyad Conquest of Spain,https://en.wikipedia.org/wiki/Muslim_conquest_of_the_Iberian_Peninsula,207209,conflict,711,hard
Spanish Democracy Transition,https://en.wikipedia.org/wiki/Spanish_transition_to_democracy,207215,diplomatic,1975,hard
Sand Creek Massacre,https://en.wikipedia.org/wiki/Sand_Creek_massacre,209562,conflict,1864,hard
Birth of Socrates,https://en.wikipedia.org/wiki/Sócrates,209929,cultural,-470,hard
Battle of Ain Jalut,https://en.wikipedia.org/wiki/Battle_of_Ain_Jalut,210539,conflict,1260,hard
Bering Discovers Bering Strait,https://en.wikipedia.org/wiki/Beringia,212055,exploration,1728,hard
Sandinista Revolution,https://en.wikipedia.org/wiki/Nicaraguan_Revolution,212161,diplomatic,1979,hard
Minamata Disease Discovered,https://en.wikipedia.org/wiki/Minamata_disease,212392,disasters,1956,hard
Miracles at Lourdes,https://en.wikipedia.org/wiki/Our_Lady_of_Lourdes,212524,diplomatic,1858,hard
Beirut Barracks Bombing,https://en.wikipedia.org/wiki/1983_Beirut_barracks_bombings,213818,conflict,1983,hard
Rurik Founds Novgorod,https://en.wikipedia.org/wiki/Rurik,214831,diplomatic,862,hard
US Embassy Bombings,https://en.wikipedia.org/wiki/1998_United_States_embassy_bombings,214972,conflict,1998,hard
Concert of Europe Established,https://en.wikipedia.org/wiki/Concert_of_Europe,215050,diplomatic,1815,hard
Human Genome Project Begins,https://en.wikipedia.org/wiki/Human_Genome_Project,215525,cultural,1990,hard
Royal Society Founded,https://en.wikipedia.org/wiki/Royal_Society,216295,diplomatic,1660,hard
Cartier Explores St. Lawrence,https://en.wikipedia.org/wiki/Jacques_Cartier,221576,exploration,1534,hard
First Boer War,https://en.wikipedia.org/wiki/First_Boer_War,221579,conflict,1880,hard
Birth of Siddhartha Gautama,https://en.wikipedia.org/wiki/Lumbini,222225,cultural,-563,hard
Les Demoiselles d'Avignon Painted,https://en.wikipedia.org/wiki/Les_Demoiselles_d'Avignon,222351,cultural,1907,hard
Portuguese Capture Goa,https://en.wikipedia.org/wiki/Annexation_of_Goa,224363,diplomatic,1510,hard
Bhola Cyclone,https://en.wikipedia.org/wiki/1970_Bhola_cyclone,225842,disasters,1970,hard
USS Nautilus Launched,https://en.wikipedia.org/wiki/USS_Nautilus_(SSN-571),226155,exploration,1954,hard
Appian Way Constructed,https://en.wikipedia.org/wiki/Appian_Way,226371,infrastructure,-312,hard
Neutron Discovered,https://en.wikipedia.org/wiki/Neutron,226538,exploration,1932,hard
Great Zimbabwe Built,https://en.wikipedia.org/wiki/Great_Zimbabwe,226965,infrastructure,1100,hard
Tlatelolco Massacre,https://en.wikipedia.org/wiki/Tlatelolco_massacre,227252,conflict,1968,hard
Immigration Act of 1965,https://en.wikipedia.org/wiki/Immigration_and_Nationality_Act_of_1965,228604,diplomatic,1965,hard
Crusaders Sack Constantinople,https://en.wikipedia.org/wiki/Sack_of_Constantinople,229036,diplomatic,1204,hard
AlphaFold Solves Protein Folding,https://en.wikipedia.org/wiki/AlphaFold,229941,exploration,2020,hard
Germ Theory Established,https://en.wikipedia.org/wiki/Germ_theory_of_disease,230253,exploration,1880,hard
Triple Entente,https://en.wikipedia.org/wiki/Triple_Entente,233108,diplomatic,1907,hard
Maccabean Revolt,https://en.wikipedia.org/wiki/Maccabean_Revolt,233191,cultural,-167,hard
Battle of Yarmouk,https://en.wikipedia.org/wiki/Battle_of_the_Yarmuk,237145,conflict,636,hard
Potala Palace Begun,https://en.wikipedia.org/wiki/Potala_Palace,237654,infrastructure,1645,hard
Finnish Civil War Begins,https://en.wikipedia.org/wiki/Finnish_Civil_War,238474,conflict,1918,hard
Bohr's Atomic Model,https://en.wikipedia.org/wiki/Bohr_model,239395,exploration,1913,hard
Millau Viaduct Completed,https://en.wikipedia.org/wiki/Millau_Viaduct,240613,infrastructure,2004,hard
Battle of Actium,https://en.wikipedia.org/wiki/Battle_of_Actium,241090,conflict,-31,hard
CIA Coup in Guatemala,https://en.wikipedia.org/wiki/1954_Guatemalan_coup_d'état,242032,conflict,1954,hard
Humboldt Explores South America,https://en.wikipedia.org/wiki/Alexander_von_Humboldt,246187,exploration,1799,hard
Battle of Kosovo,https://en.wikipedia.org/wiki/Battle_of_Kosovo,246211,conflict,1389,hard
House of Wisdom Founded,https://en.wikipedia.org/wiki/House_of_Wisdom,247169,cultural,800,hard
Defenestration of Prague,https://en.wikipedia.org/wiki/Defenestrations_of_Prague,247939,diplomatic,1618,hard
Expanding Universe Discovered,https://en.wikipedia.org/wiki/Expansion_of_the_universe,248086,exploration,1929,hard
Battle of Zama,https://en.wikipedia.org/wiki/Battle_of_Zama,249890,conflict,-202,hard
Great Heathen Army Invades England,https://en.wikipedia.org/wiki/Great_Heathen_Army,252417,conflict,865,hard
Battle of Manzikert,https://en.wikipedia.org/wiki/Battle_of_Manzikert,254010,conflict,1071,hard
Parker Solar Probe Touches Sun,https://en.wikipedia.org/wiki/Parker_Solar_Probe,254992,exploration,2021,hard
Japanese Invasions of Korea,https://en.wikipedia.org/wiki/Imjin_War,256940,conflict,1592,hard
SDI Announced,https://en.wikipedia.org/wiki/Strategic_Defense_Initiative,257614,diplomatic,1983,hard
Treaty of Tordesillas,https://en.wikipedia.org/wiki/Treaty_of_Tordesillas,258358,diplomatic,1494,hard
The Night Watch Painted,https://en.wikipedia.org/wiki/The_Night_Watch,258792,cultural,1642,hard
Avignon Papacy Ends,https://en.wikipedia.org/wiki/Avignon_Papacy,259901,cultural,1377,hard
Thera Volcanic Eruption,https://en.wikipedia.org/wiki/Minoan_eruption,260509,disasters,-1600,hard
Battle of Khe Sanh Begins,https://en.wikipedia.org/wiki/Battle_of_Khe_Sanh,261491,conflict,1968,hard
Handel's Messiah Premiered,https://en.wikipedia.org/wiki/Messiah_(Handel),263184,cultural,1742,hard
USS Pueblo Seized,https://en.wikipedia.org/wiki/USS_Pueblo_(AGER-2),263666,conflict,1968,hard
King Philip's War,https://en.wikipedia.org/wiki/King_Philip's_War,265015,conflict,1675,hard
Schönbrunn Palace Completed,https://en.wikipedia.org/wiki/Schönbrunn_Palace,265824,infrastructure,1749,hard
Battle of the Philippine Sea,https://en.wikipedia.org/wiki/Battle_of_the_Philippine_Sea,266900,conflict,1944,hard
MS Estonia Sinks,https://en.wikipedia.org/wiki/Sinking_of_the_MS_Estonia,269383,disasters,1994,hard
Robert Walpole Becomes First PM,https://en.wikipedia.org/wiki/Robert_Walpole,270170,diplomatic,1721,hard
Herero Genocide,https://en.wikipedia.org/wiki/Herero_and_Nama_genocide,271960,conflict,1904,hard
Cabot Reaches North America,https://en.wikipedia.org/wiki/John_Cabot,273482,exploration,1497,hard
Council of Trent Begins,https://en.wikipedia.org/wiki/Council_of_Trent,274482,cultural,1545,hard
NBC Today Debuts,https://en.wikipedia.org/wiki/Today_(American_TV_program),276052,cultural,1952,hard
Darfur Genocide Begins,https://en.wikipedia.org/wiki/War_in_Darfur,276252,conflict,2003,hard
Bank of England Founded,https://en.wikipedia.org/wiki/Bank_of_England,278588,diplomatic,1694,hard
Battle of Grunwald,https://en.wikipedia.org/wiki/Battle_of_Grunwald,278959,conflict,1410,hard
Mozart Premieres Don Giovanni,https://en.wikipedia.org/wiki/Don_Giovanni,279000,cultural,1787,hard
Johnstown Flood,https://en.wikipedia.org/wiki/Johnstown_Flood,279086,disasters,1889,hard
Rite of Spring Premiere Riot,https://en.wikipedia.org/wiki/The_Rite_of_Spring,279514,cultural,1913,hard
Egyptian Book of the Dead,https://en.wikipedia.org/wiki/Book_of_the_Dead,280121,cultural,-1550,hard
Electromagnetism Discovered,https://en.wikipedia.org/wiki/Electromagnetism,281179,exploration,1820,hard
First Balkan War,https://en.wikipedia.org/wiki/First_Balkan_War,281468,conflict,1912,hard
Metropolitan Police Founded,https://en.wikipedia.org/wiki/Metropolitan_Police,282554,infrastructure,1829,hard
Ludlow Massacre,https://en.wikipedia.org/wiki/Ludlow_Massacre,284643,conflict,1914,hard
Winter Palace Completed,https://en.wikipedia.org/wiki/Winter_Palace,285218,infrastructure,1762,hard
Borobudur Temple Built,https://en.wikipedia.org/wiki/Borobudur,288694,infrastructure,825,hard
Fibonacci Introduces Arabic Numerals,https://en.wikipedia.org/wiki/Fibonacci,288956,exploration,1202,hard
Battle of Crécy,https://en.wikipedia.org/wiki/Battle_of_Crécy,293104,conflict,1346,hard
Candide Published,https://en.wikipedia.org/wiki/Candide,294160,cultural,1759,hard
Lavoisier Identifies Oxygen's Role,https://en.wikipedia.org/wiki/Antoine_Lavoisier,295219,exploration,1778,hard
Arab Conquest of Persia,https://en.wikipedia.org/wiki/Muslim_conquest_of_Persia,298231,conflict,651,hard
Antarctic Treaty,https://en.wikipedia.org/wiki/Antarctic_Treaty_System,299136,diplomatic,1959,hard
Maxim Gun Invented,https://en.wikipedia.org/wiki/Maxim_gun,300067,exploration,1884,hard
July Revolution in France,https://en.wikipedia.org/wiki/July_Revolution,300301,diplomatic,1830,hard
Battle of the Boyne,https://en.wikipedia.org/wiki/Battle_of_the_Boyne,301602,conflict,1690,hard
Øresund Bridge Opens,https://en.wikipedia.org/wiki/Øresund_Bridge,302330,infrastructure,2000,hard
Albigensian Crusade Begins,https://en.wikipedia.org/wiki/Albigensian_Crusade,302570,conflict,1208,hard
Sabra and Shatila Massacre,https://en.wikipedia.org/wiki/Sabra_and_Shatila_massacre,304738,conflict,1982,hard
War of Austrian Succession Begins,https://en.wikipedia.org/wiki/War_of_the_Austrian_Succession,305790,conflict,1740,hard
Van Allen Radiation Belt Detected,https://en.wikipedia.org/wiki/Van_Allen_radiation_belt,306263,exploration,1958,hard
Magnetic Compass Invented,https://en.wikipedia.org/wiki/Compass,306974,exploration,206,hard
Orient Express First Run,https://en.wikipedia.org/wiki/Orient_Express,308519,diplomatic,1883,hard
Tycho Brahe's Observatory,https://en.wikipedia.org/wiki/Tycho_Brahe,308640,exploration,1576,hard
Utopia Published,https://en.wikipedia.org/wiki/Utopia,310672,cultural,1516,hard
Wilhelm Gustloff Sinks,https://en.wikipedia.org/wiki/MV_Wilhelm_Gustloff,311120,disasters,1945,hard
