event_name,event_title,approximate_year,region,category,sources
siege-of-jerusalem-638,Siege of Jerusalem by Arab Forces,638,Palestine,military,r2_antiquity
goguryeo-namgnang-battle,Battle of Namgnang,645,Korea,military,r2_korea_americas
moche-ceramics-art,Moche Ceramic Art and Portraiture,650,South America,art,non_western
durrow-gospel-manuscript,Book of Durrow Illuminated Manuscript,650,Ireland,artistic,r2_cultural
silla-hwabaek-council,Hwabaek Council System Established,650,Korea,political,r2_korea_americas
caliph-ali-assassination,Assassination of Caliph Ali,661,Arabia,political,chronology
umayyad-dynasty-founded,Umayyad Dynasty Founded,661,Middle East,political,chronology
silla-unification,Silla Unifies Korean Peninsula,668,East Asia,political,non_western
anglo-saxon-stone-churches,Anglo-Saxon Stone Churches Built,670,Britain,architectural,chronology
battle-karbala-husayn,Battle of Karbala,680,Arabia,military,chronology
princess-wu-empress,Wu Zetian Becomes Empress of China,690,East Asia,political,gap_analysis
umayyad-mosaics-art,Umayyad Mosaic Art and Architecture,690,Middle East,art,non_western
tikal-calakmul-war,Tikal-Calakmul Wars Escalate,695,Mesoamerica,military,r2_korea_americas
srivijaya-empire,Srivijaya Maritime Empire,700,Southeast Asia,political,gap_analysis
dvaravati-period,Dvaravati Period,700,Southeast Asia,political,gap_analysis
rajput-kingdoms,Rajput Kingdoms Rise,700,South Asia,political,gap_analysis
bukhara-city,Bukhara Becomes Silk Road Hub,700,Central Asia,economic,gap_analysis
zapotec-empire,Zapotec Empire Flourishes,700,Mesoamerica,political,gap_analysis
palenque-city,Palenque Maya City Peak,700,Mesoamerica,architectural,gap_analysis
chavin-culture,Chavin Culture Peak,700,South America,cultural,gap_analysis
tiwanaku-city,Tiwanaku City Flourishes,700,South America,political,gap_analysis
tang-poetry-golden-age,Tang Dynasty Poetry Golden Age,700,East Asia,culture,non_western
aksumite-decline,Aksumite Empire Decline Begins,700,Africa,political,non_western
ghana-empire-founded,Ghana Empire Established in West Africa,700,Africa,political,non_western
maya-astronomical-calendar,Maya Astronomical Calendar Precision,700,Mesoamerica,science,non_western
wari-empire-expansion,Wari Empire Expands in South America,700,South America,political,non_western
pallava-shore-temples,Pallava Shore Temples Construction,700,South Asia,architecture,non_western
mon-kingdom,Mon Kingdom in Burma,700,Southeast Asia,political,non_western
great-wall-china,Great Wall of China,700,China,infrastructure,historical_firsts
tang-luoyang-capital,Chang'an Becomes Cosmopolitan Capital,700,China,cultural,r2_antiquity
islamic-calligraphy-tradition,Islamic Calligraphy Tradition Established,700,Middle East,artistic,r2_cultural
lindisfarne-gospels,Lindisfarne Gospels Created,700,Britain,artistic,r2_cultural
anglo-saxon-manuscript-art,Anglo-Saxon Manuscript Illumination,700,Britain,artistic,r2_cultural
polynesian-star-compass,Polynesian Star Compass Navigation System,700,Polynesia,maritime,r2_africa_pacific
tikal-great-plaza,Tikal Great Plaza Complex Built,700,Mesoamerica,architectural,r2_korea_americas
lucayan-archipelago,Lucayan Settlement of Bahamas,700,Caribbean,exploration,r2_korea_americas
silla-bone-rank-system,Silla Bone Rank System Formalized,700,Korea,social,r2_korea_americas
zhouyuan-sogdian-outpost,Sogdian Outpost at Zhouyuan,700,Central Asia,economic,r2_korea_americas
moldboard-plow-adoption,Moldboard Plow Adoption in Northern Europe,700,Western Europe,agricultural,r2_paradigm_shifts
manuscript-culture-monks,Monastic Manuscript Culture Standardizes,700,Western Europe,information,r2_paradigm_shifts
siege-constantinople-arab,Arab Siege of Constantinople,717,Mediterranean,military,chronology
beowulf-composition,Beowulf Composition,725,Britain,artistic,chronology
byzantine-image-dispute,Byzantine Iconoclasm Period,726,Mediterranean,religious,chronology
bede-ecclesiastical-history,Bede Writes Ecclesiastical History,731,Britain,artistic,chronology
copan-ruler-18-rabbit,Copan Stela Erection Under 18 Rabbit,731,Mesoamerica,artistic,r2_korea_americas
charles-martel-frankish-victory,Charles Martel Defeats Umayyads at Tours,732,Europe,military,r2_antiquity
tang-trade-networks,Tang Dynasty Establishes Trading Posts Along Silk Road,750,East Asia,trade,non_western
tang-cosmopolitan-cities,Tang Dynasty Cosmopolitan Cities - Chang'an Peak,750,East Asia,culture,non_western
maya-cities-peak,Maya City-States Reach Population Peak,750,Mesoamerica,culture,non_western
ferghana-valley-trade,Ferghana Valley Grain Trade Peak,750,Central Asia,economic,r2_korea_americas
pepin-frankish-kingdom,Pepin Founds Frankish Kingdom,751,France,political,chronology
bulguksa-temple,Bulguksa Temple Construction Begun,751,Korea,architectural,r2_korea_americas
founding-rome-legend,Founding of Rome,753,Italy,political,chronology
seokguram-grotto,Seokguram Grotto Buddha Completed,774,Korea,artistic,r2_korea_americas
first-olympic-games,First Olympic Games,776,Greece,cultural,chronology
charlemagne-saxon-wars,Charlemagne Conquers Saxony,777,Europe,military,r2_antiquity
viking-raids-begin,Viking Age Begins,793,Scandinavia,military,chronology
first-embassy,Charlemagne Embassy,797,France,governance,historical_firsts
archaic-period-greece,Archaic Period of Greece Begins,800,Greece,cultural,chronology
frankish-empire-expansion,Frankish Empire Expansion,800,Europe,political,chronology
khmer-empire,Khmer Empire Established,800,Southeast Asia,political,gap_analysis
fergana-valley,Fergana Valley Horse Trade,800,Central Asia,economic,gap_analysis
mayan-classic-period,Mayan Classic Period Peak,800,Mesoamerica,cultural,gap_analysis
wari-empire,Wari Empire Peak,800,South America,political,gap_analysis
paper-money-china,Paper Money Introduced in China,800,East Asia,economic,gap_analysis
three-field-rotation,Three-Field Crop Rotation Adopted,800,Western Europe,agricultural,gap_analysis
water-mill,Watermill Technology Spreads,800,Western Europe,invention,"gap_analysis, historical_firsts"
block-printing-china,Block Printing in China,800,China,invention,consequence_chain
bukhara-trading-city,Bukhara Becomes Major Trading Center,800,Central Asia,trade,non_western
ghana-gold-trade,Ghana Empire Controls Gold Trade,800,Africa,trade,non_western
abbassid-science-translation,Abbasid Caliphate Translation Movement,800,Middle East,science,non_western
nubian-kush-kingdoms,Nubian Kush Kingdoms in Sudan Region,800,Africa,political,non_western
mound-builders,Mound Builders Create Massive Earthworks,800,North America,architecture,non_western
adena-culture,Adena Culture Eastern North America,800,North America,culture,non_western
mon-buddhism,Mon Kingdom Theravada Buddhism,800,Southeast Asia,religion,non_western
charlemagne-crowned-emperor,Charlemagne Crowned Holy Roman Emperor,800,Europe,political,r2_antiquity
flying-money-system-tang,Tang Dynasty Flying Money System,800,China,monetary,r2_economic
horse-plough-agriculture,Heavy Plow Transformation Agriculture,800,Europe,agricultural,r2_economic
homer-iliad-odyssey,Homer Composes Iliad and Odyssey,800,Greece,literary,r2_cultural
byzantine-icon-painting,Byzantine Icon Painting Formalized,800,Byzantine Empire,artistic,r2_cultural
japanese-calligraphy-art,Japanese Calligraphy Art Tradition,800,Japan,artistic,r2_cultural
java-temple-sculpture,Javanese Hindu-Buddhist Temple Sculpture,800,Southeast Asia,artistic,r2_cultural
borobudur-construction,Borobudur Buddhist Temple Construction,800,Southeast Asia,architectural,r2_cultural
horizontal-water-wheel,Horizontal Axis Water Wheel,800,Central Asia,energy,r2_tech_chains
woodblock-printing-refinement,Woodblock Printing Refinement,800,China,printing,r2_tech_chains
rustamid-tahert-kingdom,Rustamid Kingdom of Tahert Flourishes,800,North Africa,political,r2_africa_pacific
african-yam-cultivation,Yam Cultivation Becomes Staple in West Africa,800,West Africa,agricultural,r2_africa_pacific
la-venta-olmec,La Venta Olmec Ceremonial Center,800,Mesoamerica,religious,r2_korea_americas
taino-island-settlement,Taino Settlement of Hispaniola,800,Caribbean,social,r2_korea_americas
kashgar-bazaar-founded,Kashgar Bazaar Established,800,Central Asia,economic,r2_korea_americas
huari-road-system,Huari Road Network Established,800,South America,architectural,r2_korea_americas
medieval-warm-period,Medieval Warm Period Begins,800,Northern Europe,climate,r2_paradigm_shifts
horse-collar-technology,Horse Collar Technology Spread,800,Western Europe,agricultural,r2_paradigm_shifts
longship-technology,Longship Technology Perfection,800,Scandinavia,military,r2_paradigm_shifts
arabic-horse-evolution,Arabian Horse Breeding in Islamic World,800,Middle East,agricultural,r2_paradigm_shifts
monsoon-sailing-mastery,Monsoon Wind Mastery Enables Indian Ocean Trade,800,Indian Ocean,technology,r2_paradigm_shifts
chain-mail-evolution,Chain Mail Armor Dominates Medieval Warfare,800,Western Europe,military,r2_paradigm_shifts
bishops-political-power,Bishops Gain Political Power in Medieval States,800,Western Europe,governance,r2_paradigm_shifts
monastery-lands-expansion,Monastic Land Holdings Expand Dramatically,800,Western Europe,economic,r2_paradigm_shifts
animal-plowing-efficiency,Animal Plowing Becomes Standard,800,Western Europe,agricultural,r2_paradigm_shifts
first-hospital-baghdad,Mansuri Hospital Baghdad,814,Iraq,institutions,historical_firsts
khwarizmi-algorithms,Al-Khwarizmi Develops Algorithms and Algebra,820,Persia,mathematical,r2_scientific
bayt-al-hikma,House of Wisdom Established in Baghdad,832,Middle East,education,non_western
viking-dublin-settlement,Viking Settlement of Dublin,837,Ireland,military,chronology
maya-collapse-begins,Maya Classical Collapse Begins,850,Mesoamerica,political,non_western
arabian-nights-codification,Arabian Nights Stories Compiled and Codified,850,Middle East,literary,r2_cultural
gregorian-chant-codified,Gregorian Chant Tradition Codified,850,Western Europe,musical,r2_cultural
al-qarawiyyin-university,Al-Qarawiyyin University,859,Morocco,institutions,historical_firsts
kyivan-rus,Kievan Rus Established,862,Eastern Europe,political,gap_analysis
split-sunni-shia-islam,Sunni-Shia Split Formalized,872,Middle East,religious,chronology
norse-settlement-iceland,Norse Settlement of Iceland,874,Iceland,exploration,chronology
chola-empire-expansion,Chola Dynasty Maritime Expansion Begins,880,South Asia,political,non_western
khmer-angkor-empire,Khmer Empire Angkor Period,889,Southeast Asia,political,non_western
maya-collapse-classic,Maya Classic Period Collapse,900,Mexico,political,chronology
tian-shan-trade,Tian Shan Trade Route Development,900,Central Asia,economic,gap_analysis
mayan-hiatus,Mayan Collapse and Hiatus,900,Mesoamerica,political,gap_analysis
al-razi-physician,Al-Razi Medical Advances,900,Near East/Middle East,medical,gap_analysis
khwarezm-center-learning,Khwarezm Becomes Center of Learning,900,Central Asia,science,non_western
jenne-city-foundation,Jenne City Major Trading Hub,900,Africa,trade,non_western
chimor-empire-founded,Chimor Empire Established on Peru Coast,900,South America,political,non_western
igbo-ukwu-bronzes,Igbo Ukwu Bronze Culture in Nigeria,900,Africa,art,non_western
chatham-islands-settlement,Chatham Islands Polynesian Settlement,900,Pacific,exploration,non_western
yoruba-ife-kingdom,Yoruba Ife Kingdom Brass Sculpture,900,Africa,art,non_western
chinese-paper-money,Chinese Paper Money,900,China,economy,historical_firsts
medical-school,Salerno Medical School,900,Italy,institutions,historical_firsts
organum-medieval-polyphony,Organum and Medieval Polyphony Develops,900,Western Europe,musical,r2_cultural
monastic-scriptoriums,Monastic Scriptoriums Peak as Learning Centers,900,Western Europe,cultural,r2_cultural
bukhara-samanid-scholars,Bukhara Samanid Scholarship Golden Age,900,Central Asia,cultural,r2_korea_americas
famine-cycles-establish,Medieval Famine Cycles Establish,900,Western Europe,demographic,r2_paradigm_shifts
feudal-hierarchy-establishment,Feudal Hierarchy Becomes Institutionalized,900,Western Europe,governance,r2_paradigm_shifts
manorial-system-agricultural,Manorial System Dominates European Agriculture,900,Western Europe,agricultural,r2_paradigm_shifts
serfs-bound-land,Serfdom Becomes Binding in Medieval Europe,900,Western Europe,social,r2_paradigm_shifts
water-power-industrial,Water Power Drives Early Industries,900,Western Europe,energy,r2_paradigm_shifts
al-razi-medical-treatise,Al-Razi's Treatise on Smallpox and Measles,910,Persia,medical,r2_scientific
goryeo-dynasty-founded,Goryeo Dynasty Established in Korea,918,East Asia,political,non_western
chola-naval-supremacy,Chola Dynasty Establishes Naval Supremacy,920,South Asia,military,non_western
althing-iceland,Iceland Althing (First Parliament),930,Iceland,governance,historical_firsts
dai-viet-independence,Dai Viet Achieves Independence from China,938,Southeast Asia,political,non_western
ethiopian-aksumite-successor,Ethiopian Empire Successor to Aksumite Kingdom,940,Africa,political,non_western
constantine-vii-purple-porphyrogenitus,Constantine VII Cultural Flowering,945,Byzantine Empire,cultural,r2_medieval
toltec-civilization,Toltec Civilization Flourishes,950,Mesoamerica,political,"gap_analysis, non_western"
macedonian-renaissance-byzant,Macedonian Renaissance Constantinople,950,Byzantine Empire,cultural,r2_medieval
chinese-landscape-painting,Chinese Landscape Painting School Established,950,China,artistic,r2_cultural
heian-aesthetic-culture,Heian Court Aesthetic Traditions Peak,950,Japan,cultural,r2_cultural
prambanan-temple,Prambanan Temple Construction Peak,950,Southeast Asia,architectural,r2_cultural
goryeo-printing-woodblocks,Goryeo Woodblock Printing Technology,950,Korea,invention,r2_korea_americas
goryeo-gwangjong-celadon,Gwangjong Expands Celadon Production,960,Korea,economic,r2_korea_americas
fatimid-cairo-founded,Fatimid Dynasty Founds Cairo,969,Middle East,political,non_western
fatimid-al-azhar-mosque,Al-Azhar Mosque and University Founded,970,Middle East,education,non_western
norse-settlement-greenland,Norse Settlement of Greenland,982,Greenland,exploration,chronology
norse-colonization-atlantic,Norse Atlantic Colonization Begins,982,North Atlantic,exploration,r2_paradigm_shifts
karakhanid-dynasty,Karakhanid Dynasty Rules Central Asia,999,Central Asia,political,non_western
kingdom-israel-established,Kingdom of Israel Established,1000,Middle East,political,chronology
compass-invention-china,Magnetic Compass Invented in China,1000,China,invention,chronology
vinland-norse-discovery,Vinland Discovered by Norse,1000,North America,exploration,chronology
bantu-migration,Bantu Migration Wave East,1000,Sub-Saharan Africa,exploration,gap_analysis
champa-kingdom,Champa Kingdom Power Peak,1000,Southeast Asia,political,"gap_analysis, non_western"
chola-maritime,Chola Maritime Expansion,1000,South Asia,economic,gap_analysis
khorezm-state,Khorezm Sultanate Flourishes,1000,Central Asia,political,gap_analysis
goryeo-dynasty,Goryeo Dynasty Peak,1000,East Asia,political,gap_analysis
chichen-itza-peak,Chichen Itza Peak Period,1000,Mesoamerica,architectural,gap_analysis
polynesian-settlement,Polynesian Settlement of Pacific Islands,1000,Oceania/Pacific,exploration,gap_analysis
samoa-kingdoms,Samoan Kingdoms Established,1000,Oceania/Pacific,political,gap_analysis
ibn-sina-medicine,Ibn Sina Medical Works,1000,Near East/Middle East,medical,gap_analysis
optical-science,Al-Haytham Optical Science,1000,Near East/Middle East,scientific,gap_analysis
silk-trade-expansion,Silk Trade Expansion Peaks,1000,Central Asia,economic,consequence_chain
song-neo-confucianism,Neo-Confucianism Develops During Song Dynasty,1000,East Asia,philosophy,non_western
heian-period-cultural-peak,Heian Period Cultural Peak,1000,East Asia,culture,non_western
fujiwara-regency,Fujiwara Regency at Height of Power,1000,East Asia,political,non_western
ghana-decline,Ghana Empire Declines,1000,Africa,political,non_western
toltec-teotihuacan-influence,Toltec Pyramid Construction,1000,Mesoamerica,architecture,non_western
polynesian-navigation-technology,Polynesian Double Canoe Navigation Technology,1000,Pacific,technology,non_western
samoan-settlement-culture,Samoan Settlement and Culture Development,1000,Pacific,culture,non_western
bantu-expansion,Bantu Expansion Across Sub-Saharan Africa,1000,Africa,political,non_western
pueblo-bonito,Pueblo Bonito Great House Construction,1000,North America,architecture,non_western
athabaskan-migration,Athabaskan People Migration Southward,1000,North America,political,non_western
inuit-thule-culture,Thule Culture Inuit Expansion,1000,Arctic,political,non_western
micronesian-navigation,Micronesian Navigation Star Paths,1000,Pacific,technology,non_western
vedic-brahmanism,Vedic Brahmanism Foundation,1000,South Asia,religion,non_western
hoysala-dynasty,Hoysala Dynasty Architectural Innovation,1000,South Asia,political,non_western
yoruba-ife-terra-cotta,Yoruba Ife Terracotta Art,1000,Africa,art,non_western
boni-kingdom,Boni Kingdom Southern Philippines,1000,Southeast Asia,political,non_western
variolation-china,Chinese Variolation,1000,China,medicine,historical_firsts
wine-barrel,Wooden Barrel Aging,1000,France,food/agriculture,historical_firsts
canal-system,Venice Canal System,1000,Italy,infrastructure,historical_firsts
karakhanid-administration,Karakhanid Khanate Administration,1000,Central Asia,political,r2_medieval
heavy-plow-adoption,Heavy Plow Adoption Europe,1000,Europe,agricultural,r2_medieval
crop-rotation-system,Three Field Crop Rotation System,1000,Europe,agricultural,"r2_economic, r2_tech_chains"
slash-burn-agriculture-americas,Slash and Burn Agriculture in Mesoamerica,1000,Americas,agricultural,"r2_economic, r2_paradigm_shifts"
amber-trade-routes,Amber Trade Routes from Baltic,1000,Baltic,trade,r2_economic
lapis-lazuli-trade,Lapis Lazuli Trade from Afghanistan,1000,Central Asia,trade,r2_economic
incense-trade-frankincense,Frankincense Trade from Arabian Peninsula,1000,Arabia,trade,r2_economic
caravan-routes-central-asia,Caravan Routes Connect Central Asia,1000,Central Asia,trade,r2_economic
sei-shonagon-pillow-book,Sei Shonagon Writes Pillow Book,1000,Japan,literary,r2_cultural
islamic-bookbinding,Islamic Bookbinding Art Tradition,1000,Middle East,artistic,r2_cultural
confucian-printing,Confucian Texts Printing Established in China,1000,China,cultural,r2_cultural
lodestone-compass-early,Lodestone Compass Used for Navigation,1000,China,navigation,r2_tech_chains
escapement-mechanism,Escapement Mechanism Invented,1000,China,timekeeping,r2_tech_chains
overshot-wheel-improvements,Overshot Water Wheel Improvements,1000,Europe,energy,r2_tech_chains
windmill-horizontal-axis,Horizontal Axis Windmill,1000,Persia,energy,r2_tech_chains
drum-signal-codes,Drum Signal Codes in Africa,1000,Sub-Saharan Africa,communication,r2_tech_chains
crossbow-tension-mechanism,Crossbow Tension Mechanism,1000,China,weapons,r2_tech_chains
horse-collar-adoption,Horse Collar Adoption,1000,Europe,agriculture,r2_tech_chains
sickle-blade-improvements,Sickle Blade and Design,1000,Mediterranean,agriculture,r2_tech_chains
arch-mechanics-understanding,Arch Mechanics and Design,1000,Rome,construction,r2_tech_chains
distillation-techniques,Distillation Apparatus and Techniques,1000,Islamic world,chemistry,r2_tech_chains
kanem-bornu-empire-rise,Kanem-Bornu Empire Rises as Regional Power,1000,West Africa,political,r2_africa_pacific
khwarezm-al-biruni,Al-Biruni Studies in Khwarezm,1000,Central Asia,scientific,r2_korea_americas
chimu-kingdom-founded,Chimú Kingdom Established,1000,South America,political,r2_korea_americas
chaco-canyon-great-roads,Chaco Canyon Great Road Network Built,1000,North America,architectural,r2_korea_americas
cahokia-woodhenge,Cahokia Woodhenge Solar Calendar,1000,North America,scientific,r2_korea_americas
xicalanco-trade-port,Xicalanco Trade Port Flourishes,1000,Mesoamerica,economic,r2_korea_americas
kowoj-maya-settlement,Kowoj Maya Settlement Lakeside,1000,Mesoamerica,architectural,r2_korea_americas
gunpowder-china-adoption,Gunpowder Weaponry Dominance in China,1000,East Asia,military,r2_paradigm_shifts
iron-adoption-sub-saharan-africa,Iron Smelting in Sub-Saharan Africa,1000,Sub-Saharan Africa,technology,r2_paradigm_shifts
water-mill-europe,Water Mill Dominates European Production,1000,Western Europe,energy,r2_paradigm_shifts
deforestation-mediterranean,Mediterranean Deforestation Crisis,1000,Mediterranean,ecological,r2_paradigm_shifts
population-doubling-medieval,Medieval European Population Doubling,1000,Western Europe,demographic,r2_paradigm_shifts
crossbow-adoption-medieval,Crossbow Adoption in Medieval Warfare,1000,Western Europe,military,r2_paradigm_shifts
castle-fortification-shift,Castle Fortification Paradigm Shift,1000,Western Europe,military,r2_paradigm_shifts
cathedral-construction-boom,Cathedral Construction Boom Begins,1000,Western Europe,architectural,r2_paradigm_shifts
barter-money-transition,Barter to Monetary Economy Transition,1000,Western Europe,economic,r2_paradigm_shifts
murasaki-shikibu-genji,Murasaki Shikibu Writes Tale of Genji,1008,Japan,literary,r2_cultural
tanjore-temple,Tanjore Great Temple Completed,1010,South Asia,architectural,gap_analysis
rajendra-chola-conquest,Rajendra Chola's Victorious Conquests,1012,South Asia,military,non_western
basil-ii-bulgar-victories,Battle of Serres Basil II Victory,1014,Byzantine Empire,military,r2_medieval
al-haytham-optics,Al-Haytham Develops Optics and Light Theory,1015,Persia,scientific,r2_scientific
basil-ii-bulgar-slayer,Basil II Campaigns Balkan Conquest,1018,Byzantine Empire,military,r2_medieval
al-biruni-geography-astronomy,Al-Biruni's Works on Geography and Astronomy,1020,Central Asia,scientific,r2_scientific
avicenna-medical-education,Avicenna Establishes Medical Education Systems,1020,Persia,medical,r2_scientific
chola-administrative-system,Chola Administrative System Villages,1030,India,political,"r2_medieval, r2_medieval, r2_africa_pacific, r2_africa_pacific"
printing-movable-china,Movable Type China,1040,China,communication,historical_firsts
metal-type-development,Metal Type Casting and Development,1040,China,printing,r2_tech_chains
almoravid-dynasty-rise,Almoravid Dynasty Rises in North Africa,1040,North Africa,political,r2_africa_pacific
establishment-zhou-dynasty,Establishment of Zhou Dynasty,1046,China,political,chronology
song-printing-expansion,Expansion of Woodblock Printing in Song China,1050,East Asia,technology,non_western
chola-maritime-network,Chola Naval Network Extends to Southeast Asia and Middle East,1050,South Asia,trade,non_western
heian-women-literature,Heian Women Writers and Court Literature,1050,East Asia,culture,non_western
pagan-kingdom-flourishes,Pagan Kingdom Flourishes in Burma,1050,Southeast Asia,political,non_western
anasazi-cliff-dwellings,Anasazi Cliff Dwelling Construction,1050,North America,architecture,non_western
romanesque-development,Romanesque Architecture Development,1050,Europe,architectural,r2_medieval
horseshoe-adoption,Horseshoe Adoption Medieval Europe,1050,Europe,agricultural,r2_medieval
mi-fu-landscape-art,Mi Fu Develops Landscape Painting Technique,1050,China,artistic,r2_cultural
romanesque-architecture-style,Romanesque Architecture Style Emerges,1050,Western Europe,architectural,r2_cultural
madrasa-education-flourishes,Madrasa Educational System Flourishes,1050,Middle East,cultural,r2_cultural
mississippian-cahokia-settlement,Mississippian Settlement at Cahokia,1050,North America,architectural,r2_korea_americas
shwesandaw-pagoda,Shwesandaw Pagoda Built in Pagan,1057,Southeast Asia,architecture,non_western
song-scholar-official-system,Song Dynasty Scholar Official Examination,1070,East Asia,political,r2_medieval
omar-khayyam-algebra,Omar Khayyam Advances Algebra,1070,Persia,mathematical,r2_scientific
manzikert-consequences-byzant,Battle of Manzikert Consequences,1071,Byzantine Empire,military,r2_medieval
chaco-canyon-development,Chaco Canyon Development Great Houses,1075,Americas,architectural,r2_medieval
su-shi-literati-painting,Su Shi Pioneers Literati Painting Tradition,1080,China,artistic,r2_cultural
goryeo-seondeok-scholars,Seondeok Period Confucian Scholarship,1080,Korea,cultural,r2_korea_americas
domesday-book,Domesday Book Compiled,1086,England,legal,consequence_chain
dom-university-bologna,University of Bologna Founded,1088,Italy,cultural,chronology
urban-ii,Pope Urban II Launches Crusade,1095,Western Europe,religious,gap_analysis
al-ghazali-philosophy,Al-Ghazali Reconciles Islam and Philosophy,1095,Iraq,intellectual,consequence_chain
dom-university-oxford,University of Oxford Founded,1096,Britain,cultural,chronology
oxford-university-founded,University of Oxford,1096,England,institutions,historical_firsts
silk-road-trade,Silk Road Trade Network Flourishes,1100,Asia,economic,chronology
timbuktu-founded,Timbuktu Founded as Trade Hub,1100,Sub-Saharan Africa,economic,gap_analysis
angkor-period-peak,Angkor Period Reaches Peak,1100,Southeast Asia,architectural,gap_analysis
pagan-kingdom,Pagan Kingdom Peak,1100,Southeast Asia,political,gap_analysis
hoysala-temples,Hoysala Temple Construction Peak,1100,South Asia,architectural,"gap_analysis, non_western"
mississippian-culture,Mississippian Culture Peak,1100,North America,cultural,"gap_analysis, non_western"
ancestral-puebloans,Ancestral Puebloans Peak,1100,North America,cultural,gap_analysis
song-gunpowder-weapons,Gunpowder Weapons Development in Song Dynasty,1100,East Asia,military,non_western
song-maritime-commerce,Song Dynasty Maritime Commerce Peak,1100,East Asia,trade,non_western
champa-hindu-culture,Champa Hindu Kingdom Culture Peak,1100,Southeast Asia,culture,non_western
mixtec-codices,Mixtec Codices Recording History and Mythology,1100,Mesoamerica,culture,non_western
shona-settlement,Shona Settlement in Zimbabwe Region,1100,Africa,political,non_western
cahokia-metropolis,Cahokia Metropolis Reaches Peak Population,1100,North America,architecture,non_western
compass-navigation,Chinese Magnetic Compass,1100,China,infrastructure,historical_firsts
law-school,University of Bologna Law,1100,Italy,institutions,historical_firsts
windmill-european,European Windmill,1100,France,food/agriculture,historical_firsts
antioch-crusader-conflicts,Crusader-Muslim Conflicts Antioch,1100,Eastern Mediterranean,military,r2_medieval
song-banking-development,Song Dynasty Banking Development,1100,East Asia,economic,r2_medieval
khmer-baray-hydraulics,Khmer Baray Hydraulic System Development,1100,Southeast Asia,architectural,r2_medieval
hoysala-temple-architecture,Hoysala Dynasty Temple Architecture,1100,India,architectural,r2_medieval
cathedral-school-emergence,Cathedral School Development Paris,1100,Europe,cultural,r2_medieval
troubadour-tradition,Troubadour Tradition Emerges in Occitania,1100,Southern France,musical,r2_cultural
hausa-city-states-formation,Hausa City-States Emerge in West Africa,1100,West Africa,political,r2_africa_pacific
camel-trade-adaptation,Camel Trade Networks Transform African Commerce,1100,North Africa,economic,r2_africa_pacific
anasazi-pueblo-bonito-peak,Pueblo Bonito Population Peak,1100,North America,social,r2_korea_americas
khwarezm-caravanserai-network,Khwarezmian Trade Route Caravanserais,1100,Central Asia,economic,r2_korea_americas
tepeyac-sanctuary,Tepeyac Sanctuary Becomes Sacred Site,1100,Mesoamerica,religious,r2_korea_americas
iron-adoption-greece,Iron Working Adoption in Greece,1100,Mediterranean,technology,r2_paradigm_shifts
wind-mill-adoption,Windmill Adoption in Northern Europe,1100,Western Europe,energy,r2_paradigm_shifts
urbanization-medieval-growth,Medieval European Urbanization Wave,1100,Western Europe,demographic,r2_paradigm_shifts
angkor-wat-temple,Angkor Wat Temple Complex Construction,1113,Southeast Asia,architecture,non_western
cistercian-order,Cistercian Order Expansion,1115,Western Europe,religious,gap_analysis
jurchens-jin-dynasty,Jurchen Jin Dynasty Rules Northern China,1115,East Asia,political,non_western
scholasticism-development,Scholasticism Abelard Development,1115,Europe,religious,r2_medieval
song-magnetic-compass,Song Dynasty Compass Navigation Development,1120,East Asia,scientific,r2_medieval
almohad-dynasty-formation,Almohad Dynasty Forms in Maghreb,1121,North Africa,political,r2_africa_pacific
troubadour-courtly-love,Troubadour Poetry of Courtly Love,1130,Southern France,literary,r2_cultural
university-salamanca,University of Salamanca Founded,1134,Spain,cultural,r2_cultural
zagwe-dynasty-ethiopian-rule,Zagwe Dynasty Rules Ethiopia,1137,East Africa,political,r2_africa_pacific
cathars-heresy,Cathar Heresy Languedoc,1140,Europe,religious,r2_medieval
matilda-england,Empress Matilda Civil War in England,1141,Western Europe,political,gap_analysis
khwarezmian-shah-conquest,Khwarezmian Shah Conquers Khorasan,1141,Central Asia,military,r2_korea_americas
second-crusade,Second Crusade Launched,1147,Eastern Mediterranean,military,r2_medieval
dorian-invasion,Dorian Invasion of Greece,1150,Greece,military,chronology
angkor-wat-construction,Angkor Wat Built,1150,Southeast Asia,architectural,chronology
dom-university-paris,University of Paris Founded,1150,France,cultural,chronology
cahokia-moundbuilder,Cahokia Mound City Flourishes,1150,North America,architectural,gap_analysis
champagne-fairs,Champagne Trade Fairs Flourish,1150,Western Europe,economic,gap_analysis
banking-origins,Banking Develops in Medieval Italy,1150,Western Europe,economic,gap_analysis
averroes-aristotle-commentary,Averroes Commentaries on Aristotle,1150,Spain,intellectual,consequence_chain
goryeo-celadon-pottery,Goryeo Celadon Pottery Golden Age,1150,East Asia,culture,non_western
pharmacy-school,Salerno Pharmacy School,1150,Italy,institutions,historical_firsts
song-sternpost-rudder,Song Dynasty Sternpost Rudder Refinement,1150,East Asia,maritime,r2_medieval
song-maritime-technology,Song Dynasty Maritime Trade Fleet,1150,East Asia,maritime,r2_medieval
song-agricultural-treatise,Song Dynasty Agricultural Treatise,1150,East Asia,agricultural,r2_medieval
great-zimbabwe-stone-construction,Great Zimbabwe Stone Architecture,1150,Africa,architectural,r2_medieval
gothic-architecture-emergence,Gothic Architecture Emergence France,1150,Europe,architectural,r2_medieval
